Filename,Label,Wind_Speed_Vw,Num_Samples,Columns,RMS,Kurtosis,Skewness,Peak_to_Peak,Mean,Std
crack fault state-Vw=4.5.csv,Crack,4.5,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005385267691707183,5.379394422409844,0.8421070565541329,0.039152,-3.2199279999999994e-05,0.005385171428813821
crack fault state-Vw=4.5.csv_aug_1,Crack,4.5,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005383581148362473,5.383565148409139,0.8463482848128835,0.0391126222600519,-2.915470661321598e-05,0.005383502204335584
crack fault state-Vw=4.5.csv_aug_2,Crack,4.5,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.00538757077529755,5.38562126653719,0.8435092691266926,0.0392182617021039,-3.330898024154148e-05,0.005387467806927064
crack fault-Vw=4.csv,Crack,4.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005591196963026789,4.28759238980769,0.6855743958434479,0.037533,2.866759999999996e-05,0.005591123469220676
crack fault-Vw=4.csv_aug_1,Crack,4.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0055916823023382575,4.279936510617827,0.6827573083927112,0.03754443116375724,2.6632915904217376e-05,0.005591618876324933
crack fault-Vw=4.csv_aug_2,Crack,4.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005589441920203861,4.289269061133639,0.6833203574300778,0.03757557491191667,2.9781119031278003e-05,0.005589362581214558
Crack Fault-Vw=5.4.csv,Crack,5.4,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004279738481097273,4.782572346004043,0.8410392163124255,0.030175,0.00112299044,0.004129776499794318
Crack Fault-Vw=5.4.csv_aug_1,Crack,5.4,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0042774194251121245,4.788790814857545,0.842939652864494,0.03016876838597584,0.0011228896389012864,0.00412740061021155
Crack Fault-Vw=5.4.csv_aug_2,Crack,5.4,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004278230904921703,4.791717575156114,0.8402767948612382,0.030195533015185898,0.0011234443663083432,0.004128090652061461
Crack Fault-Vw=5.csv,Crack,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005876685067476391,3.8773195161789213,0.5982628194630006,0.04066,0.0012088178,0.005751016163140489
Crack Fault-Vw=5.csv_aug_1,Crack,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005875399966891369,3.8629091909092343,0.5958131538742334,0.04058699026381213,0.001207732417747421,0.005749931058549231
Crack Fault-Vw=5.csv_aug_2,Crack,5.0,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005876962975477712,3.8845300689801086,0.6004345552728473,0.040779519476613485,0.0012116735310437256,0.00575069918090869
Crack State-Vw=1.3.csv,Crack,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005363853425574491,3.9050709324053394,0.9013506928565345,0.029668,0.0005599725199999999,0.005334543499484473
Crack State-Vw=1.3.csv_aug_1,Crack,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005364219895112741,3.9069980744076185,0.9015338436172831,0.02970845052220206,0.0005618117316078481,0.00533471861126256
Crack State-Vw=1.3.csv_aug_2,Crack,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0053670177569165815,3.8960794117197945,0.8959265803031182,0.029781051403980678,0.0005617399686547992,0.005337539490315139
Crack state-Vw=2.8.csv,Crack,2.8,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005253747518918282,4.365904450636209,0.7067653331728494,0.037822,0.00043643227999999996,0.0052355887784960725
Crack state-Vw=2.8.csv_aug_1,Crack,2.8,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005251694702819609,4.340897366805084,0.7016531110698818,0.03758726514544713,0.0004374510172043449,0.005233443785803993
Crack state-Vw=2.8.csv_aug_2,Crack,2.8,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005256885197737972,4.359727648718332,0.7075836816009184,0.03778154404178866,0.00043608433854361073,0.005238766308194476
Crack state-Vw=3.3.csv,Crack,3.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004782335103588999,4.118239548841573,0.5264675342200454,0.032368,-7.774972e-05,0.0047817030464113435
Crack state-Vw=3.3.csv_aug_1,Crack,3.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004786079052521861,4.110129112765887,0.5248216015127897,0.03229604440788125,-7.735010087730026e-05,0.004785453965809601
Crack state-Vw=3.3.csv_aug_2,Crack,3.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0047855858713233895,4.116876166937382,0.5259470865963374,0.03236754025367433,-8.03402643252754e-05,0.004784911448892048
Erosion fault state-Vw=1.3.csv,Erosion,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004761230864331197,3.8749491744191777,0.6649050958733211,0.030501999999999998,0.0006023597999999998,0.0047229738528605
Erosion fault state-Vw=1.3.csv_aug_1,Erosion,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004759532804196999,3.8718824741754068,0.663861002535654,0.030551710357467815,0.0005991772780829023,0.004721666983561686
Erosion fault state-Vw=1.3.csv_aug_2,Erosion,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004764257536519291,3.8782048749735885,0.6667944793883008,0.030544684025450054,0.0006024337291245269,0.00472601560262913
