Filename,Label,Wind_Speed_Vw,Num_Samples,Columns,RMS,Kurtosis,Skewness,Peak_to_Peak,Mean,Std
crack fault state-Vw=4.5.csv,Crack,4.5,500,"['Time', 'Amplitude_Voltage_1']",0.005385267691707183,5.379394422409844,0.8421070565541329,0.039152,-3.2199279999999994e-05,0.005385171428813821
crack fault-Vw=4.csv,Crack,4.0,500,"['Time', 'Amplitude_Voltage_1']",0.005591196963026789,4.28759238980769,0.6855743958434479,0.037533,2.866759999999996e-05,0.005591123469220676
Crack Fault-Vw=5.4.csv,Crack,5.4,500,"['Time', 'Amplitude_Voltage_1']",0.004279738481097273,4.782572346004043,0.8410392163124255,0.030175,0.00112299044,0.004129776499794318
Crack Fault-Vw=5.csv,Crack,5.0,500,"['Time', 'Amplitude_Voltage_1']",0.005876685067476391,3.8773195161789213,0.5982628194630006,0.04066,0.0012088178,0.005751016163140489
Crack State-Vw=1.3.csv,Crack,1.3,500,"['Time', 'Amplitude_Voltage_1']",0.005363853425574491,3.9050709324053394,0.9013506928565345,0.029668,0.0005599725199999999,0.005334543499484473
Crack state-Vw=2.8.csv,Crack,2.8,500,"['Time', 'Amplitude_Voltage_1']",0.005253747518918282,4.365904450636209,0.7067653331728494,0.037822,0.00043643227999999996,0.0052355887784960725
Crack state-Vw=3.3.csv,Crack,3.3,500,"['Time', 'Amplitude_Voltage_1']",0.004782335103588999,4.118239548841573,0.5264675342200454,0.032368,-7.774972e-05,0.0047817030464113435
Erosion fault state-Vw=1.3.csv,Erosion,1.3,500,"['Time', 'Amplitude_Voltage_1']",0.004761230864331197,3.8749491744191777,0.6649050958733211,0.030501999999999998,0.0006023597999999998,0.0047229738528605
Erosion fault state-Vw=2.1.csv,Erosion,2.1,500,"['Time', 'Amplitude_Voltage_1']",0.004962116239164495,3.4114669708052814,0.6004215770574923,0.033864000000000005,0.0007895766,0.004898894402180194
Erosion fault state-Vw=2.8.csv,Erosion,2.8,500,"['Time', 'Amplitude_Voltage_1']",0.004854717984206704,4.805198835119436,0.8067197281513941,0.035064,0.0003075498,0.004844966442267682
Erosion Fault state-Vw=3.4.csv,Erosion,3.4,500,"['Time', 'Amplitude_Voltage_1']",0.0048577278373597675,4.202969736645944,0.6951825083453105,0.040098,0.0003631678,0.004844133450979975
Erosion Fault State-Vw=4.2.csv,Erosion,4.2,500,"['Time', 'Amplitude_Voltage_1']",0.004951858493373978,4.701514748282123,0.8595702819383392,0.035748,0.0001523016000000001,0.004949515810767498
Erosion fault state-Vw=5.3.csv,Erosion,5.3,500,"['Time', 'Amplitude_Voltage_1']",0.004499910523465995,4.22485781163151,0.7924600387362092,0.028215999999999998,0.00026039,0.0044923703951366255
Erosion Fault state-Vw=5.csv,Erosion,5.0,500,"['Time', 'Amplitude_Voltage_1']",0.004531852237633085,3.460373057024332,0.5636075770690728,0.029522,0.00018794099999999998,0.004527953498464732
H for Vw=2.3.csv,Healthy,2.3,500,"['Time', 'Amplitude_Voltage_1']",0.0038910187378141782,6.579941216150587,1.2436646056528395,0.029130461,0.0009764491219999998,0.003766506860496403
H-for Vw=1.3.csv,Healthy,1.3,500,"['Time', 'Amplitude_Voltage_1']",0.003345013004756484,4.586579768347629,0.777018084881885,0.023273,0.0008762412,0.003228205904432454
H-for-Vw=3.2.csv,Healthy,3.2,500,"['Time', 'Amplitude_Voltage_1']",0.003925433622149278,5.769978751148494,1.0491752826208423,0.02883,0.0009038466,0.0038199594821893648
H-for-Vw=3.7.csv,Healthy,3.7,500,"['Time', 'Amplitude_Voltage_1']",0.0038627419028858245,4.5830584904451435,0.8358342072013459,0.025337,0.0007990602,0.00377919009909345
H-for-Vw=4.5.csv,Healthy,4.5,500,"['Time', 'Amplitude_Voltage_1']",0.003760098302704997,5.844588298602385,1.384281387916419,0.027536,0.0010764969,0.0036027064368742826
H-for-Vw=5.csv,Healthy,5.0,500,"['Time', 'Amplitude_Voltage_1']",0.004185421125113338,5.32521155042798,0.8941829576659561,0.030967,0.0009914489000000001,0.004066297956770235
H-Vw=5.3.csv,Healthy,5.3,500,"['Time', 'Amplitude_Voltage_1']",0.0036446891866303223,5.618507222092811,0.9722812057561417,0.028758,0.000715417,0.003573784798116837
twist fault when Vw=1.3.xlsx,Twist,1.3,500,"['Time', 'Amplitude_Voltage_1']",0.005490414931740587,4.007517749644134,0.4945988336360255,0.036645,0.00039788640000000005,0.005475978682881722
twist fault when Vw=4.7.xlsx,Twist,4.7,500,"['Time', 'Amplitude_Voltage_1']",0.005326009566375187,3.677825561095497,0.5336512972312013,0.034497,0.000408624,0.005310311132856907
twist fault when Vw=5.3.xlsx,Twist,5.3,500,"['Time', 'Amplitude_Voltage_1']",0.004700981424753771,3.519481199199391,0.5670667084580716,0.029341,0.00037106359999999997,0.004686313920410693
twist fault when Vw=5.xlsx,Twist,5.0,500,"['Time', 'Amplitude_Voltage_1']",0.005125420387300929,3.764753404358772,0.7521755480832648,0.029518000000000003,0.000764172,0.005068133315233134
twist fault when Vwind=4.xlsx,Twist,4.0,500,"['Time', 'Amplitude_Voltage_1']",0.004525987479030405,4.118300061477786,0.7124032276322168,0.029099,0.00038855460000000004,0.004509277989119637
twist faultwhenVw=3.2.xlsx,Twist,3.2,500,"['Time', 'Amplitude_Voltage_1']",0.004342827389827968,3.9399124653812088,0.6554998727243286,0.03125,0.0003153772,0.004331360866928564
twsist faut when Vw=2.xlsx,Twist,2.0,500,"['Time', 'Amplitude_Voltage_1']",0.005531378615949192,4.482556142990307,0.7098320156130182,0.041312,0.0006511426,0.005492919324680205
